artist_name, city, province, country
"Small Man", "Springfield", "IL", 
"Pines", "Olympia", "Washington", 
"Stuck Pigs", "Washington", , 
"Krimewatch", "New York", , 
"Pleather", "Hattiesburg", , 
"Deedee Catpiss And The Fuzz Coffins", "Hattiesburg", , 
"Disco Lemonade", "Hattiesburg", , 
"Bad Example", "Birmingham", "AL", 
"Payback", "Toronto", , 
"FLEM", "Toronto", , 
"Sorrows", "New York", , 
"Poor Form", "Vancouver", , "Canada"
"Toyota", "San Francisco", "CA", "USA"
"Cochina", "Chicago", , 
"TV Ugly", "Vancouver", , "Canada"
"Genderdog", "Vancouver", , "Canada"
"Try the Pie", "San Jose", "CA", "USA"
"Real World", "Toronto", , 
"Q", "Saint Louis", , 
"Casual Hex", "Seattle", , 
"Ingrate", "MacAllen", , 
"Gun Outfit", "Los Angeles", "CA", "USA"
"Try The Pie", "San Jose", "CA", "USA"
"Fishbone", "Los Angeles", "CA", "USA"
"Talking Heads", "New York", , 
"My Bloody Valentine", "Dublin", , 
"Huey Lewis & The News", "San Francisco", "CA", "USA"
"Naomi Punk", "Olympia", "Washington", 
"The Smiths", "Manchester", , 
"The B-52's", "Athens", "GA", "USA"
"The Vicious", "Umea", , 
"Big Bleach", "Hattiesburg", , 
"Rilo Kiley", "Los Angeles", "CA", "USA"
"Dir Yassin", "Jerusalem", , 
"Madball", "New York", , 
"Merzbow", "Tokyo", , 
"Merchandise", "Tampa", , 
"Hank Wood And The Hammerheads", "New York", , 
"Cat Power", "Atlanta", "GA",
"Purity", "Los Angeles", "CA", "USA"
"Peace", "Vancouver", , "Canada"
"Earth", "Olympia", , 
"Sex Negatives", "Vancouver", , "Canada"
"C.C.T.V.", "Hammond", , 
"Leather Daddy", "Boston", , 
"Inflatable Boy Clams", "San Francisco", "CA", "USA"
"Latex", "Philadelphia", , 
"My Light Shines For You", "Santiago", , "Chile"
"Cell", "Montreal", , 
"Tough Customer", "Vancouver", , "Canada"
"Cascadia", "Vancouver", , "Canada"
"Urochromes", "Chicopee", ,
"Hoax", "Chicopee", , 
"DJ Jazzy Jeff & The Fresh Prince", "Philadelphia", ,
